id,word,deprel,head,head_word,sentence_id
6,the,det,7,inedrive,14
7,inedrive,poss,9,glass,14
8,'s,case,7,inedrive,14
9,glass,nsubj,10,started,14
10,started,ROOT,-1,ROOT,14
11,to,aux,12,open,14
12,open,xcomp,10,started,14
13,.,punct,10,started,14
0,As,mark,2,walked,15
1,she,nsubj,2,walked,15
2,walked,advcl,10,started,15
3,past,prep,2,walked,15
4,it,pobj,3,past,15
5,",",punct,10,started,15
6,the,det,7,driver,15
7,driver,poss,9,class,15
8,'s,case,7,driver,15
9,class,nsubj,10,started,15
10,started,ROOT,-1,ROOT,15
11,to,aux,12,open,15
12,open,xcomp,10,started,15
13,.,punct,10,started,15
0,As,mark,2,walked,16
1,she,nsubj,2,walked,16
2,walked,advcl,10,started,16
3,past,prep,2,walked,16
4,it,pobj,3,past,16
5,",",punct,10,started,16
6,the,det,7,driver,16
7,driver,poss,9,glasses,16
8,'s,case,7,driver,16
9,glasses,nsubj,10,started,16
10,started,ROOT,-1,ROOT,16
11,to,aux,12,open,16
12,open,xcomp,10,started,16
13,.,punct,10,started,16
0,As,mark,2,walked,17
1,she,nsubj,2,walked,17
2,walked,advcl,10,started,17
3,past,prep,2,walked,17
4,it,pobj,3,past,17
5,",",punct,10,started,17
6,the,det,7,driver,17
7,driver,poss,9,glas,17
8,'s,case,7,driver,17
9,glas,nsubj,10,started,17
10,started,ROOT,-1,ROOT,17
11,to,aux,12,open,17
12,open,xcomp,10,started,17
13,.,punct,10,started,17
0,As,mark,2,walked,18
1,she,nsubj,2,walked,18
2,walked,advcl,10,started,18
3,past,prep,2,walked,18
4,it,pobj,3,past,18
5,",",punct,10,started,18
6,the,det,7,driver,18
7,driver,poss,9,glussed,18
8,'s,case,7,driver,18
9,glussed,nsubj,10,started,18
10,started,ROOT,-1,ROOT,18
11,to,aux,12,open,18
12,open,xcomp,10,started,18
13,.,punct,10,started,18
0,As,mark,2,walked,19
1,she,nsubj,2,walked,19
2,walked,advcl,10,starte,19
3,past,prep,2,walked,19
4,it,pobj,3,past,19
5,",",punct,10,starte,19
6,the,det,7,driver,19
7,driver,poss,9,glass,19
8,'s,case,7,driver,19
9,glass,nsubj,10,starte,19
10,starte,ROOT,-1,ROOT,19
11,to,aux,12,open,19
12,open,xcomp,10,starte,19
13,.,punct,10,starte,19
0,As,mark,2,walked,20
1,she,nsubj,2,walked,20
2,walked,advcl,10,sterted,20
3,past,prep,2,walked,20
4,it,pobj,3,past,20
5,",",punct,10,sterted,20
6,the,det,7,driver,20
7,driver,poss,9,glass,20
8,'s,case,7,driver,20
9,glass,nsubj,10,sterted,20
10,sterted,ROOT,-1,ROOT,20
11,to,aux,12,open,20
12,open,xcomp,10,sterted,20
13,.,punct,10,sterted,20
0,As,mark,2,walked,21
1,she,nsubj,2,walked,21
2,walked,advcl,10,starter,21
3,past,prep,2,walked,21
4,it,pobj,3,past,21
5,",",punct,10,starter,21
6,the,det,7,driver,21
7,driver,poss,9,glass,21
8,'s,case,7,driver,21
9,glass,nsubj,10,starter,21
10,starter,ROOT,-1,ROOT,21
11,to,aux,12,open,21
12,open,xcomp,10,starter,21
13,.,punct,10,starter,21
0,As,mark,2,walked,22
1,she,nsubj,2,walked,22
2,walked,advcl,10,starters,22
3,past,prep,2,walked,22
4,it,pobj,3,past,22
5,",",punct,10,starters,22
6,the,det,7,driver,22
7,driver,poss,9,glass,22
8,'s,case,7,driver,22
9,glass,nsubj,10,starters,22
10,starters,ROOT,-1,ROOT,22
11,to,aux,12,open,22
12,open,xcomp,10,starters,22
13,.,punct,10,starters,22
0,As,mark,2,walked,23
1,she,nsubj,2,walked,23
2,walked,advcl,10,started,23
3,past,prep,2,walked,23
4,it,pobj,3,past,23
5,",",punct,10,started,23
6,the,det,7,driver,23
7,driver,poss,9,glass,23
8,'s,case,7,driver,23
9,glass,nsubj,10,started,23
10,started,ROOT,-1,ROOT,23
11,to,aux,12,oppened,23
12,oppened,xcomp,10,started,23
13,.,punct,10,started,23
0,As,mark,2,walked,24
1,she,nsubj,2,walked,24
2,walked,advcl,10,started,24
3,past,prep,2,walked,24
4,it,pobj,3,past,24
5,",",punct,10,started,24
6,the,det,7,driver,24
7,driver,poss,9,glass,24
8,'s,case,7,driver,24
9,glass,nsubj,10,started,24
10,started,ROOT,-1,ROOT,24
11,to,aux,12,oben,24
12,oben,xcomp,10,started,24
13,.,punct,10,started,24
0,As,mark,2,walked,25
1,she,nsubj,2,walked,25
2,walked,advcl,10,started,25
3,past,prep,2,walked,25
4,it,pobj,3,past,25
5,",",punct,10,started,25
6,the,det,7,driver,25
7,driver,poss,9,glass,25
8,'s,case,7,driver,25
9,glass,nsubj,10,started,25
10,started,ROOT,-1,ROOT,25
11,to,aux,12,offen,25
12,offen,xcomp,10,started,25
13,.,punct,10,started,25
0,WIth,prep,4,wiped,26
1,a,det,2,handkerchief,26
2,handkerchief,pobj,0,WIth,26
3,she,nsubj,4,wiped,26
4,wiped,ROOT,-1,ROOT,26
5,the,det,6,sweat,26
6,sweat,dobj,4,wiped,26
7,from,prep,4,wiped,26
8,her,poss,9,forehead,26
9,forehead,pobj,7,from,26
10,.,punct,4,wiped,26
0,With,prep,4,wiped,27
1,a,det,2,handkerchief,27
2,handkerchief,pobj,0,With,27
3,she,nsubj,4,wiped,27
4,wiped,ROOT,-1,ROOT,27
5,the,det,6,sweat,27
6,sweat,dobj,4,wiped,27
7,from,prep,4,wiped,27
8,her,poss,9,forehead,27
9,forehead,pobj,7,from,27
10,.,punct,4,wiped,27
0,Whit,prep,4,wiped,28
1,a,det,2,handkerchief,28
2,handkerchief,pobj,0,Whit,28
3,she,nsubj,4,wiped,28
4,wiped,ROOT,-1,ROOT,28
5,the,det,6,sweat,28
6,sweat,dobj,4,wiped,28
7,from,prep,4,wiped,28
8,her,poss,9,forehead,28
9,forehead,pobj,7,from,28
10,.,punct,4,wiped,28
0,With,prep,4,wiped,29
1,a,det,2,handkerchief,29
2,handkerchief,pobj,0,With,29
3,she,nsubj,4,wiped,29
4,wiped,ROOT,-1,ROOT,29
5,the,det,6,sweat,29
6,sweat,dobj,4,wiped,29
7,from,prep,4,wiped,29
8,her,poss,9,forehead,29
9,forehead,pobj,7,from,29
10,.,punct,4,wiped,29
0,With,prep,4,wiped,30
1,a,det,2,handkerchief,30
2,handkerchief,pobj,0,With,30
3,whe,nsubj,4,wiped,30
4,wiped,ROOT,-1,ROOT,30
5,the,det,6,sweat,30
6,sweat,dobj,4,wiped,30
7,from,prep,4,wiped,30
8,her,poss,9,forehead,30
9,forehead,pobj,7,from,30
10,.,punct,4,wiped,30
0,With,prep,4,wiped,31
1,a,det,2,handkerchief,31
2,handkerchief,pobj,0,With,31
3,shee,nsubj,4,wiped,31
4,wiped,ROOT,-1,ROOT,31
5,the,det,6,sweat,31
6,sweat,dobj,4,wiped,31
7,from,prep,4,wiped,31
8,her,poss,9,forehead,31
9,forehead,pobj,7,from,31
10,.,punct,4,wiped,31
0,With,prep,4,wiped,32
1,a,det,2,handkerchief,32
2,handkerchief,pobj,0,With,32
3,sha,nsubj,4,wiped,32
4,wiped,ROOT,-1,ROOT,32
5,the,det,6,sweat,32
6,sweat,dobj,4,wiped,32
7,from,prep,4,wiped,32
8,her,poss,9,forehead,32
9,forehead,pobj,7,from,32
10,.,punct,4,wiped,32
0,With,prep,4,wiped,33
1,a,det,2,handkerchief,33
2,handkerchief,pobj,0,With,33
3,she,nsubj,4,wiped,33
4,wiped,ROOT,-1,ROOT,33
5,the,det,6,sweat,33
6,sweat,dobj,4,wiped,33
7,from,prep,4,wiped,33
8,her,poss,9,forehead,33
9,forehead,pobj,7,from,33
10,.,punct,4,wiped,33
0,With,prep,4,wiped,34
1,a,det,2,handkerchief,34
2,handkerchief,pobj,0,With,34
3,she,nsubj,4,wiped,34
4,wiped,ROOT,-1,ROOT,34
5,tnhe,det,6,sweat,34
6,sweat,dobj,4,wiped,34
7,from,prep,4,wiped,34
8,her,poss,9,forehead,34
9,forehead,pobj,7,from,34
10,.,punct,4,wiped,34
0,With,prep,4,wiped,35
1,a,det,2,handkerchief,35
2,handkerchief,pobj,0,With,35
3,she,nsubj,4,wiped,35
4,wiped,ROOT,-1,ROOT,35
5,thw,det,6,sweat,35
6,sweat,dobj,4,wiped,35
7,from,prep,4,wiped,35
8,her,poss,9,forehead,35
9,forehead,pobj,7,from,35
10,.,punct,4,wiped,35
0,With,prep,4,wiped,36
1,a,det,2,handkerchief,36
2,handkerchief,pobj,0,With,36
3,she,nsubj,4,wiped,36
4,wiped,ROOT,-1,ROOT,36
5,e,det,6,sweat,36
6,sweat,dobj,4,wiped,36
7,from,prep,4,wiped,36
8,her,poss,9,forehead,36
9,forehead,pobj,7,from,36
10,.,punct,4,wiped,36
0,With,prep,4,wiped,37
1,a,det,2,handkerchief,37
2,handkerchief,pobj,0,With,37
3,she,nsubj,4,wiped,37
4,wiped,ROOT,-1,ROOT,37
5,trhe,det,6,sweat,37
6,sweat,dobj,4,wiped,37
7,from,prep,4,wiped,37
8,her,poss,9,forehead,37
9,forehead,pobj,7,from,37
10,.,punct,4,wiped,37
0,With,prep,4,wiped,38
1,a,det,2,handkerchief,38
2,handkerchief,pobj,0,With,38
3,she,nsubj,4,wiped,38
4,wiped,ROOT,-1,ROOT,38
5,They,det,6,sweat,38
6,sweat,dobj,4,wiped,38
7,from,prep,4,wiped,38
8,her,poss,9,forehead,38
9,forehead,pobj,7,from,38
10,.,punct,4,wiped,38
0,With,prep,4,wiped,39
1,a,det,2,handkerchief,39
2,handkerchief,pobj,0,With,39
3,she,nsubj,4,wiped,39
4,wiped,ROOT,-1,ROOT,39
5,the,det,6,sweater,39
6,sweater,dobj,4,wiped,39
7,from,prep,4,wiped,39
8,her,poss,9,forehead,39
9,forehead,pobj,7,from,39
10,.,punct,4,wiped,39
0,With,prep,4,wiped,40
1,a,det,2,handkerchief,40
2,handkerchief,pobj,0,With,40
3,she,nsubj,4,wiped,40
4,wiped,ROOT,-1,ROOT,40
5,the,det,6,sweets,40
6,sweets,dobj,4,wiped,40
7,from,prep,4,wiped,40
8,her,poss,9,forehead,40
9,forehead,pobj,7,from,40
10,.,punct,4,wiped,40
0,With,prep,4,wiped,41
1,a,det,2,handkerchief,41
2,handkerchief,pobj,0,With,41
3,she,nsubj,4,wiped,41
4,wiped,ROOT,-1,ROOT,41
5,the,det,6,sweet,41
6,sweet,dobj,4,wiped,41
7,from,prep,4,wiped,41
8,her,poss,9,forehead,41
9,forehead,pobj,7,from,41
10,.,punct,4,wiped,41
0,With,prep,4,wiped,42
1,a,det,2,handkerchief,42
2,handkerchief,pobj,0,With,42
3,she,nsubj,4,wiped,42
4,wiped,ROOT,-1,ROOT,42
5,the,det,6,sweat,42
6,sweat,dobj,4,wiped,42
7,drom,prep,4,wiped,42
8,her,poss,9,forehead,42
9,forehead,pobj,7,drom,42
10,.,punct,4,wiped,42
0,With,prep,4,wiped,43
1,a,det,2,handkerchief,43
2,handkerchief,pobj,0,With,43
3,she,nsubj,4,wiped,43
4,wiped,ROOT,-1,ROOT,43
5,the,det,6,sweat,43
6,sweat,dobj,4,wiped,43
7,froon,prep,4,wiped,43
8,her,poss,9,forehead,43
9,forehead,pobj,7,froon,43
10,.,punct,4,wiped,43
0,With,prep,4,wiped,44
1,a,det,2,handkerchief,44
2,handkerchief,pobj,0,With,44
3,she,nsubj,4,wiped,44
4,wiped,ROOT,-1,ROOT,44
5,the,det,6,sweat,44
6,sweat,dobj,4,wiped,44
7,forom,prep,4,wiped,44
8,her,poss,9,forehead,44
9,forehead,pobj,7,forom,44
10,.,punct,4,wiped,44
0,With,prep,4,wiped,45
1,a,det,2,handkerchief,45
2,handkerchief,pobj,0,With,45
3,she,nsubj,4,wiped,45
4,wiped,ROOT,-1,ROOT,45
5,the,det,6,sweat,45
6,sweat,dobj,4,wiped,45
7,forme,prep,4,wiped,45
8,her,poss,9,forehead,45
9,forehead,pobj,7,forme,45
10,.,punct,4,wiped,45
0,With,prep,4,wiped,46
1,a,det,2,handkerchief,46
2,handkerchief,pobj,0,With,46
3,she,nsubj,4,wiped,46
4,wiped,ROOT,-1,ROOT,46
5,the,det,6,sweat,46
6,sweat,dobj,4,wiped,46
7,form,prep,4,wiped,46
8,her,poss,9,forehead,46
9,forehead,pobj,7,form,46
10,.,punct,4,wiped,46
0,With,prep,4,wiped,47
1,a,det,2,handkerchief,47
2,handkerchief,pobj,0,With,47
3,she,nsubj,4,wiped,47
4,wiped,ROOT,-1,ROOT,47
5,the,det,6,sweat,47
6,sweat,dobj,4,wiped,47
7,from,prep,4,wiped,47
8,het,poss,9,forehead,47
9,forehead,pobj,7,from,47
10,.,punct,4,wiped,47
0,With,prep,4,wiped,48
1,a,det,2,handkerchief,48
2,handkerchief,pobj,0,With,48
3,she,nsubj,4,wiped,48
4,wiped,ROOT,-1,ROOT,48
5,the,det,6,sweat,48
6,sweat,dobj,4,wiped,48
7,from,prep,4,wiped,48
8,ho,poss,9,forehead,48
9,forehead,pobj,7,from,48
10,.,punct,4,wiped,48
0,With,prep,4,wiped,49
1,a,det,2,handkerchief,49
2,handkerchief,pobj,0,With,49
3,she,nsubj,4,wiped,49
4,wiped,ROOT,-1,ROOT,49
5,the,det,6,sweat,49
6,sweat,dobj,4,wiped,49
7,from,prep,4,wiped,49
8,hef,poss,9,forehead,49
9,forehead,pobj,7,from,49
10,.,punct,4,wiped,49
0,With,prep,4,wiped,50
1,a,det,2,handkerchief,50
2,handkerchief,pobj,0,With,50
3,she,nsubj,4,wiped,50
4,wiped,ROOT,-1,ROOT,50
5,the,det,6,sweat,50
6,sweat,dobj,4,wiped,50
7,from,prep,4,wiped,50
8,had,poss,9,forehead,50
9,forehead,pobj,7,from,50
10,.,punct,4,wiped,50
0,With,prep,4,wiped,51
1,a,det,2,handkerchief,51
2,handkerchief,pobj,0,With,51
3,she,nsubj,4,wiped,51
4,wiped,ROOT,-1,ROOT,51
5,the,det,6,sweat,51
6,sweat,dobj,4,wiped,51
7,from,prep,4,wiped,51
8,her,poss,9,forehead,51
9,forehead,pobj,7,from,51
10,.,punct,4,wiped,51
0,Prudently,advmod,4,diversified,52
1,",",punct,4,diversified,52
2,they,nsubj,4,diversified,52
3,had,aux,4,diversified,52
4,diversified,ROOT,-1,ROOT,52
5,into,prep,4,diversified,52
6,banking,pobj,5,into,52
7,and,cc,6,banking,52
8,insurance,conj,6,banking,52
9,",",punct,4,diversified,52
10,and,cc,4,diversified,52
11,as,prep,17,felt,52
12,a,det,13,result,52
13,result,pobj,11,as,52
14,their,poss,15,influence,52
15,influence,nsubjpass,17,felt,52
16,was,auxpass,17,felt,52
17,felt,conj,4,diversified,52
18,at,prep,17,felt,52
19,the,det,21,level,52
20,highest,amod,21,level,52
21,level,pobj,18,at,52
22,.,punct,17,felt,52
0,Prudently,advmod,4,diversified,53
1,",",punct,4,diversified,53
2,Their,nsubj,4,diversified,53
3,had,aux,4,diversified,53
4,diversified,ROOT,-1,ROOT,53
5,into,prep,4,diversified,53
6,banking,pobj,5,into,53
7,and,cc,6,banking,53
8,insurance,conj,6,banking,53
9,",",punct,4,diversified,53
10,and,cc,4,diversified,53
11,as,prep,17,felt,53
12,a,det,13,result,53
13,result,pobj,11,as,53
14,their,poss,15,influence,53
15,influence,nsubjpass,17,felt,53
16,was,auxpass,17,felt,53
17,felt,conj,4,diversified,53
18,at,prep,17,felt,53
19,the,det,21,level,53
20,highest,amod,21,level,53
21,level,pobj,18,at,53
22,.,punct,17,felt,53
0,Prudently,advmod,4,diversified,54
1,",",punct,4,diversified,54
2,thy,nsubj,4,diversified,54
3,had,aux,4,diversified,54
4,diversified,ROOT,-1,ROOT,54
5,into,prep,4,diversified,54
6,banking,pobj,5,into,54
7,and,cc,6,banking,54
8,insurance,conj,6,banking,54
9,",",punct,4,diversified,54
10,and,cc,4,diversified,54
11,as,prep,17,felt,54
12,a,det,13,result,54
13,result,pobj,11,as,54
14,their,poss,15,influence,54
15,influence,nsubjpass,17,felt,54
16,was,auxpass,17,felt,54
17,felt,conj,4,diversified,54
18,at,prep,17,felt,54
19,the,det,21,level,54
20,highest,amod,21,level,54
21,level,pobj,18,at,54
22,.,punct,17,felt,54
0,Prudently,advmod,4,diversified,55
1,",",punct,4,diversified,55
2,thay,nsubj,4,diversified,55
3,had,aux,4,diversified,55
4,diversified,ROOT,-1,ROOT,55
5,into,prep,4,diversified,55
6,banking,pobj,5,into,55
7,and,cc,6,banking,55
8,insurance,conj,6,banking,55
9,",",punct,4,diversified,55
10,and,cc,4,diversified,55
11,as,prep,17,felt,55
12,a,det,13,result,55
13,result,pobj,11,as,55
14,their,poss,15,influence,55
15,influence,nsubjpass,17,felt,55
16,was,auxpass,17,felt,55
17,felt,conj,4,diversified,55
18,at,prep,17,felt,55
19,the,det,21,level,55
20,highest,amod,21,level,55
21,level,pobj,18,at,55
22,.,punct,17,felt,55
0,Prudently,advmod,4,diversified,56
1,",",punct,4,diversified,56
2,Then,nsubj,4,diversified,56
3,had,aux,4,diversified,56
4,diversified,ROOT,-1,ROOT,56
5,into,prep,4,diversified,56
6,banking,pobj,5,into,56
7,and,cc,6,banking,56
8,insurance,conj,6,banking,56
9,",",punct,4,diversified,56
10,and,cc,4,diversified,56
11,as,prep,17,felt,56
12,a,det,13,result,56
13,result,pobj,11,as,56
14,their,poss,15,influence,56
15,influence,nsubjpass,17,felt,56
16,was,auxpass,17,felt,56
17,felt,conj,4,diversified,56
18,at,prep,17,felt,56
19,the,det,21,level,56
20,highest,amod,21,level,56
21,level,pobj,18,at,56
22,.,punct,17,felt,56
0,Prudently,advmod,4,diversified,57
1,",",punct,4,diversified,57
2,then,nsubj,4,diversified,57
3,had,aux,4,diversified,57
4,diversified,ROOT,-1,ROOT,57
5,into,prep,4,diversified,57
6,banking,pobj,5,into,57
7,and,cc,6,banking,57
8,insurance,conj,6,banking,57
9,",",punct,4,diversified,57
10,and,cc,4,diversified,57
11,as,prep,17,felt,57
12,a,det,13,result,57
13,result,pobj,11,as,57
14,their,poss,15,influence,57
15,influence,nsubjpass,17,felt,57
16,was,auxpass,17,felt,57
17,felt,conj,4,diversified,57
18,at,prep,17,felt,57
19,the,det,21,level,57
20,highest,amod,21,level,57
21,level,pobj,18,at,57
22,.,punct,17,felt,57
0,Prudently,advmod,4,diversified,58
1,",",punct,4,diversified,58
2,they,nsubj,4,diversified,58
3,haved,aux,4,diversified,58
4,diversified,ROOT,-1,ROOT,58
5,into,prep,4,diversified,58
6,banking,pobj,5,into,58
7,and,cc,6,banking,58
8,insurance,conj,6,banking,58
9,",",punct,4,diversified,58
10,and,cc,4,diversified,58
11,as,prep,17,felt,58
12,a,det,13,result,58
13,result,pobj,11,as,58
14,their,poss,15,influence,58
15,influence,nsubjpass,17,felt,58
16,was,auxpass,17,felt,58
17,felt,conj,4,diversified,58
18,at,prep,17,felt,58
19,the,det,21,level,58
20,highest,amod,21,level,58
21,level,pobj,18,at,58
22,.,punct,17,felt,58
0,Prudently,advmod,4,diversified,59
1,",",punct,4,diversified,59
2,they,nsubj,4,diversified,59
3,hve,aux,4,diversified,59
4,diversified,ROOT,-1,ROOT,59
5,into,prep,4,diversified,59
6,banking,pobj,5,into,59
7,and,cc,6,banking,59
8,insurance,conj,6,banking,59
9,",",punct,4,diversified,59
10,and,cc,4,diversified,59
11,as,prep,17,felt,59
12,a,det,13,result,59
13,result,pobj,11,as,59
14,their,poss,15,influence,59
15,influence,nsubjpass,17,felt,59
16,was,auxpass,17,felt,59
17,felt,conj,4,diversified,59
18,at,prep,17,felt,59
19,the,det,21,level,59
20,highest,amod,21,level,59
21,level,pobj,18,at,59
22,.,punct,17,felt,59
0,Prudently,advmod,4,diversified,60
1,",",punct,4,diversified,60
2,they,nsubj,4,diversified,60
3,hard,aux,4,diversified,60
4,diversified,ROOT,-1,ROOT,60
5,into,prep,4,diversified,60
6,banking,pobj,5,into,60
7,and,cc,6,banking,60
8,insurance,conj,6,banking,60
9,",",punct,4,diversified,60
10,and,cc,4,diversified,60
11,as,prep,17,felt,60
12,a,det,13,result,60
13,result,pobj,11,as,60
14,their,poss,15,influence,60
15,influence,nsubjpass,17,felt,60
16,was,auxpass,17,felt,60
17,felt,conj,4,diversified,60
18,at,prep,17,felt,60
19,the,det,21,level,60
20,highest,amod,21,level,60
21,level,pobj,18,at,60
22,.,punct,17,felt,60
0,Prudently,advmod,4,diversified,61
1,",",punct,4,diversified,61
2,they,nsubj,4,diversified,61
3,have,aux,4,diversified,61
4,diversified,ROOT,-1,ROOT,61
5,into,prep,4,diversified,61
6,banking,pobj,5,into,61
7,and,cc,6,banking,61
8,insurance,conj,6,banking,61
9,",",punct,4,diversified,61
10,and,cc,4,diversified,61
11,as,prep,17,felt,61
12,a,det,13,result,61
13,result,pobj,11,as,61
14,their,poss,15,influence,61
15,influence,nsubjpass,17,felt,61
16,was,auxpass,17,felt,61
17,felt,conj,4,diversified,61
18,at,prep,17,felt,61
19,the,det,21,level,61
20,highest,amod,21,level,61
21,level,pobj,18,at,61
22,.,punct,17,felt,61
0,Prudently,advmod,4,diversified,62
1,",",punct,4,diversified,62
2,they,nsubj,4,diversified,62
3,had,aux,4,diversified,62
4,diversified,ROOT,-1,ROOT,62
5,into,prep,4,diversified,62
6,banking,pobj,5,into,62
7,and,cc,6,banking,62
8,insurance,conj,6,banking,62
9,",",punct,4,diversified,62
10,and,cc,4,diversified,62
11,as,prep,17,felt,62
12,a,det,13,result,62
13,result,pobj,11,as,62
14,their,poss,15,influence,62
15,influence,nsubjpass,17,felt,62
16,was,auxpass,17,felt,62
17,felt,conj,4,diversified,62
18,at,prep,17,felt,62
19,the,det,21,level,62
20,highest,amod,21,level,62
21,level,pobj,18,at,62
22,.,punct,17,felt,62
0,Prudently,advmod,4,diversified,63
